+-------------------+------+-------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|dateTime           |profit|macdHistogram|close                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |macdHistogramArray                                                                                                                                                                                                                                                                                                                   |
|2016-01-08 09:30:00|86    |-7           |[1.08709, 1.0872, 1.08741, 1.08728, 1.08734, 1.08733, 1.08673, 1.08692, 1.08655, 1.08607, 1.08638, 1.08654, 1.08682, 1.08666, 1.08683]                                                                                                                                                                                                                                                                                                                                                                                                                                                               |[-4, -7, -7, -7, -7, -6, -10, -10, -12, -16, -15, -13, -9, -7, -4]                                                                                                                                                                                                                                                                   |
|2016-01-08 14:05:00|120   |25           |[1.08702, 1.08702, 1.08838, 1.08746, 1.0874, 1.08614, 1.08585, 1.08734, 1.08751, 1.08732, 1.08644, 1.08918, 1.08934, 1.08952, 1.09058, 1.09023, 1.08908, 1.08854, 1.09013, 1.09029, 1.08972, 1.0906, 1.09084, 1.08994]                                                                                                                                                                                                                                                                                                                                                                               |[12, 25, 42, 44, 43, 33, 23, 25, 26, 24, 16, 27, 34, 37, 44, 43, 32, 20, 20, 20, 14, 15, 15, 8]                                                                                                                                                                                                                                      |
|2016-01-08 16:05:00|-131  |-13          |[1.08896, 1.08878, 1.09012, 1.09024, 1.09072, 1.09086, 1.08964, 1.08938, 1.08952, 1.08902, 1.08845, 1.0887, 1.08814, 1.08892, 1.08848, 1.08718, 1.08762, 1.08864, 1.08861, 1.08856, 1.0886, 1.0885, 1.08882]                                                                                                                                                                                                                                                                                                                                                                                         |[-4, -13, -11, -9, -5, -2, -8, -14, -17, -22, -28, -30, -33, -29, -28, -34, -34, -26, -19, -15, -11, -8, -4]                                                                                                                                                                                                                         |
|2016-01-08 21:55:00|50    |-7           |[1.09264, 1.09199, 1.09204, 1.0928]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |[-1, -7, -10, -8]                                                                                                                                                                                                                                                                                                                    |
|2016-01-10 22:15:00|-58   |6            |[1.09382, 1.09388, 1.09338, 1.09296, 1.0937, 1.09386, 1.09343, 1.09433, 1.09446, 1.09628, 1.09684, 1.0964, 1.09568, 1.09492, 1.09454]                                                                                                                                                                                                                                                                                                                                                                                                                                                                |[1, 6, 5, 1, 2, 4, 1, 5, 7, 19, 29, 30, 23, 13, 2]                                                                                                                                                                                                                                                                                   |
|2016-01-10 23:30:00|55    |-18          |[1.09407, 1.09374, 1.09337, 1.09373, 1.0942, 1.09373, 1.09262, 1.09355, 1.09324, 1.0932, 1.09316, 1.09338, 1.09362, 1.09365, 1.09354, 1.09364, 1.0935, 1.09386, 1.09312, 1.09352]                                                                                                                                                                                                                                                                                                                                                                                                                    |[-9, -18, -26, -28, -25, -26, -32, -29, -28, -27, -25, -21, -16, -12, -10, -8, -6, -3, -6, -4]                                                                                                                                                                                                                                       |
|2016-01-11 02:00:00|54    |-11          |[1.09322, 1.09253, 1.09205, 1.09214, 1.09194, 1.09186, 1.09182, 1.09194, 1.0923, 1.0923, 1.09222, 1.09206, 1.09192, 1.09202]                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |[-3, -11, -19, -22, -24, -24, -24, -21, -15, -11, -8, -6, -5, -3]                                                                                                                                                                                                                                                                    |
|2016-01-11 07:20:00|-80   |-14          |[1.0904, 1.09106, 1.09132, 1.09079, 1.09046, 1.08944, 1.08996, 1.09007, 1.08882, 1.0888, 1.08857, 1.08888, 1.08924, 1.0887, 1.08763, 1.08797, 1.08874, 1.08788, 1.08764, 1.08844]                                                                                                                                                                                                                                                                                                                                                                                                                    |[-11, -14, -13, -15, -18, -25, -25, -23, -28, -29, -30, -26, -20, -18, -22, -21, -13, -12, -12, -6]                                                                                                                                                                                                                                  |
|2016-01-11 09:00:00|-77   |7            |[1.08918, 1.08856, 1.08896, 1.08896, 1.08902, 1.08845, 1.08857, 1.08866, 1.08876, 1.08858, 1.08858, 1.08858, 1.0889, 1.08926, 1.08934, 1.0891, 1.08862, 1.08938, 1.08937, 1.08976, 1.08956, 1.08926, 1.08954, 1.0901, 1.09016, 1.09028, 1.09066, 1.09062, 1.09014, 1.08988, 1.08991, 1.08977]                                                                                                                                                                                                                                                                                                        |[4, 7, 12, 15, 17, 14, 13, 13, 14, 12, 12, 11, 12, 15, 17, 16, 12, 14, 14, 17, 16, 13, 13, 15, 16, 17, 19, 19, 14, 9, 5, 2]                                                                                                                                                                                                          |
|2016-01-11 12:35:00|-64   |7            |[1.09068, 1.09082, 1.09019, 1.09016, 1.0899]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |[4, 7, 5, 3, 0]                                                                                                                                                                                                                                                                                                                      |
|2016-01-11 13:00:00|99    |-6           |[1.08996, 1.08948, 1.08882, 1.08854, 1.08915, 1.08874, 1.08912, 1.08851, 1.08832, 1.08888, 1.08882, 1.08814, 1.08827, 1.0878, 1.08784, 1.08744, 1.08674, 1.08622, 1.08644, 1.08748, 1.08789]                                                                                                                                                                                                                                                                                                                                                                                                         |[-2, -6, -13, -18, -17, -18, -15, -16, -17, -13, -10, -12, -12, -13, -13, -15, -19, -24, -24, -15, -6]                                                                                                                                                                                                                               |
|2016-01-11 14:45:00|99    |17           |[1.08868, 1.0893, 1.08983, 1.0886, 1.0883, 1.08772, 1.08719]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |[6, 17, 27, 25, 21, 13, 5]                                                                                                                                                                                                                                                                                                           |
